UF;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;total;latitude;longitude
Rondonia;1.068;1.050;1.221;1.104;1.221;1.358;1.490;1.410;1.414;1.408;1.377;1.112;1.306;1.436;1.528;1.397;1.566;1.406;1.479;1.508;1.571;1.458;1.290;1.314;32.492;-87.619;-639.039
Acre;310;342;331;246;302;321;407;360;287;337;375;357;355;387;439;488;531;522;550;507;655;820;689;625;10.543;-99.758;-678.243
Amazonas;1.199;1.240;1.299;1.233;1.352;1.255;1.349;1.389;1.476;1.517;1.671;1.681;1.948;1.991;2.263;2.527;2.678;2.596;2.721;2.989;2.821;3.005;2.928;3.030;48.158;-3.119;-60.021
Roraima;268;273;334;397;348;328;344;305;342;316;335;385;337;351;372;350;419;506;435;536;474;590;698;591;9.634;28.235;-606.758
Para;2.150;2.363;2.494;2.322;2.233;2.632;3.047;3.223;3.367;3.926;4.277;4.385;5.232;5.200;6.125;5.744;6.197;6.487;6.657;6.850;7.432;7.714;7.569;6.487;114.113;-1.455;-485.028
Amapa;347;298;334;345;339;389;429;411;403;429;439;406;429;421;503;488;536;545;543;554;600;634;652;631;11.105;0.0349;-510.668
Tocantins;509;520;617;579;657;709;720;770;832;782;833;946;954;1.051;1.185;1.211;1.236;1.262;1.319;1.393;1.525;1.568;1.456;1.377;24.011;-101.874;-483.334
Maranhao;1.384;1.531;1.709;1.341;1.611;1.832;2.030;2.229;2.255;2.729;2.738;3.143;3.502;3.585;3.887;4.135;4.663;5.026;5.580;5.382;5.452;5.076;4.811;4.514;80.145;-25.387;-442.826
Piaui;665;679;737;735;1.035;1.102;1.198;1.273;1.354;1.406;1.717;1.654;1.789;1.860;1.975;2.083;2.314;2.366;2.619;2.477;2.584;2.414;2.472;2.261;40.769;-50.919;-428.034
Ceara;3.469;3.591;3.168;3.765;3.941;4.073;4.480;4.765;4.904;5.110;5.268;5.645;5.801;5.849;7.047;7.420;8.433;9.081;9.297;8.824;8.129;9.807;9.186;6.826;147.879;-37.172;-385.433
Rio Grande do Norte;1.343;1.386;1.272;1.311;1.530;1.452;1.509;1.508;1.621;1.680;1.730;1.934;2.084;2.286;2.162;2.414;2.544;2.763;2.978;2.892;3.180;3.580;3.144;2.595;50.898;-57.945;-35.212
Paraiba;1.523;1.387;1.376;1.280;1.391;1.242;1.732;1.584;1.934;1.970;2.134;2.144;2.494;2.731;2.907;3.093;3.191;3.269;3.173;3.246;3.156;3.095;3.036;2.666;55.754;-71.151;-348.641
Pernambuco;6.235;6.940;7.461;7.200;7.448;7.614;7.472;7.451;7.407;7.607;7.799;8.148;8.157;7.968;7.646;7.771;7.483;7.291;7.480;8.212;9.114;9.770;8.639;8.189;186.502;-80.476;-34.877
Alagoas;1.669;1.671;1.665;1.479;1.671;1.781;1.986;2.028;2.083;2.198;2.691;2.984;2.956;3.060;3.403;3.572;3.367;3.514;3.463;2.986;3.096;3.133;2.683;2.383;61.522;-96.669;-35.735
Sergipe;1.176;1.000;1.079;1.132;1.181;1.249;1.305;1.230;1.312;1.304;1.372;1.339;1.457;1.641;1.781;1.764;1.955;2.165;2.167;2.444;2.483;2.323;2.112;1.957;38.928;-109.472;-370.731
Bahia;5.918;6.189;6.339;6.141;6.299;6.506;7.260;7.345;7.518;7.633;8.435;9.440;10.653;11.493;12.168;11.968;13.233;12.545;13.047;12.751;13.707;13.785;13.096;12.893;236.362;-129.714;-385.014
Minas Gerais;10.026;10.139;9.835;8.790;8.202;8.876;9.598;10.806;11.445;11.671;12.183;12.415;12.187;12.681;12.931;14.263;14.237;14.170;14.845;14.002;14.032;14.324;12.782;13.113;287.553;-199.191;-439.386
Espirito Santo;2.785;2.884;3.172;2.870;2.936;2.972;3.228;3.191;3.273;3.317;3.574;3.881;3.984;3.930;3.944;3.804;3.995;3.894;3.922;3.639;3.433;3.782;3.409;3.302;83.121;-203.155;-403.128
Rio de Janeiro;17.208;16.399;15.810;15.206;14.858;15.024;16.078;15.640;14.990;15.039;14.938;15.189;14.420;14.184;13.794;13.765;13.066;13.525;14.069;13.263;14.563;14.634;14.705;13.969;354.336;-229.083;-431.964
Sao Paulo;33.137;32.781;32.134;34.108;33.896;34.009;32.958;31.395;29.492;27.523;25.013;23.241;23.837;24.048;24.151;24.276;25.041;24.156;25.095;23.450;22.526;22.194;21.985;21.749;652.195;-235.505;-466.333
Parana;7.126;6.990;6.772;6.628;6.812;6.950;7.254;7.655;8.378;8.354;8.463;8.832;9.074;9.286;9.535;9.376;9.832;8.935;8.912;8.723;9.022;8.603;8.549;8.388;198.449;-254.195;-492.646
Santa Catarina;3.811;3.724;3.190;3.266;3.312;3.394;3.688;3.764;3.890;3.951;3.852;3.952;4.132;4.039;4.115;4.245;4.285;4.062;4.447;4.243;4.334;4.621;4.251;4.329;94.897;-275.954;-48.548
Rio Grande do Sul;6.812;6.889;6.484;6.422;6.555;6.602;6.910;6.889;7.022;6.930;6.976;7.278;7.397;7.358;7.257;7.167;7.575;7.766;7.963;7.895;8.436;8.643;8.022;7.612;174.860;-30.033;-51.23
Mato Grosso do Sul;2.002;1.974;1.656;1.621;1.645;1.653;1.846;1.853;1.957;1.945;1.955;2.006;2.004;2.110;2.120;2.224;2.187;2.191;2.224;1.986;2.105;2.062;1.985;1.910;47.221;-204.486;-546.295
Mato Grosso;1.882;1.956;2.053;2.075;2.376;2.338;2.581;2.483;2.563;2.585;2.479;2.495;2.734;2.912;2.861;2.815;3.027;3.177;3.329;3.065;3.079;3.021;2.922;2.784;63.592;-15.601;-560.974
Goias;3.397;3.740;3.563;3.716;3.650;3.723;4.081;3.977;4.310;4.344;4.128;4.294;4.865;4.921;5.279;5.542;6.371;6.575;6.728;6.607;6.579;6.452;6.185;5.829;118.856;-166.864;-492.643
Distrito Federal;1.737;1.614;1.585;1.582;1.596;1.570;1.570;1.723;1.641;1.622;1.636;1.746;1.848;1.918;1.878;1.940;2.051;1.888;1.900;1.712;1.773;1.549;1.558;1.476;41.113;-157.801;-479.292
