UF;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;total;latitude;longitude
Rondonia;1068;1050;1221;1104;1221;1358;1490;1410;1414;1408;1377;1112;1306;1436;1528;1397;1566;1406;1479;1508;1571;1458;1290;1314;32492;-87619;-639039
Acre;310;342;331;246;302;321;407;360;287;337;375;357;355;387;439;488;531;522;550;507;655;820;689;625;10543;-99758;-678243
Amazonas;1199;1240;1299;1233;1352;1255;1349;1389;1476;1517;1671;1681;1948;1991;2263;2527;2678;2596;2721;2989;2821;3005;2928;3030;48158;-3119;-60021
Roraima;268;273;334;397;348;328;344;305;342;316;335;385;337;351;372;350;419;506;435;536;474;590;698;591;9634;28235;-606758
Para;2150;2363;2494;2322;2233;2632;3047;3223;3367;3926;4277;4385;5232;5200;6125;5744;6197;6487;6657;6850;7432;7714;7569;6487;114113;-1455;-485028
Amapa;347;298;334;345;339;389;429;411;403;429;439;406;429;421;503;488;536;545;543;554;600;634;652;631;11105;0.0349;-510668
Tocantins;509;520;617;579;657;709;720;770;832;782;833;946;954;1051;1185;1211;1236;1262;1319;1393;1525;1568;1456;1377;24011;-101874;-483334
Maranhao;1384;1531;1709;1341;1611;1832;2030;2229;2255;2729;2738;3143;3502;3585;3887;4135;4663;5026;5580;5382;5452;5076;4811;4514;80145;-25387;-442826
Piaui;665;679;737;735;1035;1102;1198;1273;1354;1406;1717;1654;1789;1860;1975;2083;2314;2366;2619;2477;2584;2414;2472;2261;40769;-50919;-428034
Ceara;3469;3591;3168;3765;3941;4073;4480;4765;4904;5110;5268;5645;5801;5849;7047;7420;8433;9081;9297;8824;8129;9807;9186;6826;147879;-37172;-385433
Rio Grande do Norte;1343;1386;1272;1311;1530;1452;1509;1508;1621;1680;1730;1934;2084;2286;2162;2414;2544;2763;2978;2892;3180;3580;3144;2595;50898;-57945;-35212
Paraiba;1523;1387;1376;1280;1391;1242;1732;1584;1934;1970;2134;2144;2494;2731;2907;3093;3191;3269;3173;3246;3156;3095;3036;2666;55754;-71151;-348641
Pernambuco;6235;6940;7461;7200;7448;7614;7472;7451;7407;7607;7799;8148;8157;7968;7646;7771;7483;7291;7480;8212;9114;9770;8639;8189;186502;-80476;-34877
Alagoas;1669;1671;1665;1479;1671;1781;1986;2028;2083;2198;2691;2984;2956;3060;3403;3572;3367;3514;3463;2986;3096;3133;2683;2383;61522;-96669;-35735
Sergipe;1176;1000;1079;1132;1181;1249;1305;1230;1312;1304;1372;1339;1457;1641;1781;1764;1955;2165;2167;2444;2483;2323;2112;1957;38928;-109472;-370731
Bahia;5918;6189;6339;6141;6299;6506;7260;7345;7518;7633;8435;9440;10653;11493;12168;11968;13233;12545;13047;12751;13707;13785;13096;12893;236362;-129714;-385014
Minas Gerais;10026;10139;9835;8790;8202;8876;9598;10806;11445;11671;12183;12415;12187;12681;12931;14263;14237;14170;14845;14002;14032;14324;12782;13113;287553;-199191;-439386
Espirito Santo;2785;2884;3172;2870;2936;2972;3228;3191;3273;3317;3574;3881;3984;3930;3944;3804;3995;3894;3922;3639;3433;3782;3409;3302;83121;-203155;-403128
Rio de Janeiro;17208;16399;15810;15206;14858;15024;16078;15640;14990;15039;14938;15189;14420;14184;13794;13765;13066;13525;14069;13263;14563;14634;14705;13969;354336;-229083;-431964
Sao Paulo;33137;32781;32134;34108;33896;34009;32958;31395;29492;27523;25013;23241;23837;24048;24151;24276;25041;24156;25095;23450;22526;22194;21985;21749;652195;-235505;-466333
Parana;7126;6990;6772;6628;6812;6950;7254;7655;8378;8354;8463;8832;9074;9286;9535;9376;9832;8935;8912;8723;9022;8603;8549;8388;198449;-254195;-492646
Santa Catarina;3811;3724;3190;3266;3312;3394;3688;3764;3890;3951;3852;3952;4132;4039;4115;4245;4285;4062;4447;4243;4334;4621;4251;4329;94897;-275954;-48548
Rio Grande do Sul;6812;6889;6484;6422;6555;6602;6910;6889;7022;6930;6976;7278;7397;7358;7257;7167;7575;7766;7963;7895;8436;8643;8022;7612;174860;-30033;-51.23
Mato Grosso do Sul;2002;1974;1656;1621;1645;1653;1846;1853;1957;1945;1955;2006;2004;2110;2120;2224;2187;2191;2224;1986;2105;2062;1985;1910;47221;-204486;-546295
Mato Grosso;1882;1956;2053;2075;2376;2338;2581;2483;2563;2585;2479;2495;2734;2912;2861;2815;3027;3177;3329;3065;3079;3021;2922;2784;63592;-15601;-560974
Goias;3397;3740;3563;3716;3650;3723;4081;3977;4310;4344;4128;4294;4865;4921;5279;5542;6371;6575;6728;6607;6579;6452;6185;5829;118856;-166864;-492643
Distrito Federal;1737;1614;1585;1582;1596;1570;1570;1723;1641;1622;1636;1746;1848;1918;1878;1940;2051;1888;1900;1712;1773;1549;1558;1476;41113;-157801;-479292
